"ecosystem","sample","sample_fraction","fraction","sampleID","isotope.treatment","iso.treat.eco","Density.g.ml","avg_16S_copies","dna_ng_ul","uL_added","dry_soil_wt_g"
"GL",7,"7_8",8,"W1_GL_7","13C","13C.GL",1.7164704,73062.85333,23.2,37,0.253174378321895
"GL",7,"7_9",9,"W1_GL_7","13C","13C.GL",1.7122592,59032.14938,23.2,37,0.253174378321895
"GL",8,"8_10",10,"W1_GL_8","13C","13C.GL",1.6964672,6298.544522,22.7,44,0.293547701110769
"GL",8,"8_11",11,"W1_GL_8","13C","13C.GL",1.6901504,182615.0779,22.7,44,0.293547701110769
"GL",8,"8_12",12,"W1_GL_8","13C","13C.GL",1.6848864,36672.81568,22.7,44,0.293547701110769
"GL",8,"8_13",13,"W1_GL_8","13C","13C.GL",1.6806752,898616.9616,22.7,44,0.293547701110769
"GL",8,"8_14",14,"W1_GL_8","13C","13C.GL",1.6796224,13942.0453,22.7,44,0.293547701110769
"GL",8,"8_15",15,"W1_GL_8","13C","13C.GL",1.676464,18034.9481,22.7,44,0.293547701110769
"GL",8,"8_16",16,"W1_GL_8","13C","13C.GL",1.6690944,84492.60895,22.7,44,0.293547701110769
"GL",8,"8_17",17,"W1_GL_8","13C","13C.GL",1.6648832,3355.993093,22.7,44,0.293547701110769
"GL",8,"8_5",5,"W1_GL_8","13C","13C.GL",1.7227872,1617.148444,22.7,44,0.293547701110769
"GL",8,"8_6",6,"W1_GL_8","13C","13C.GL",1.7175232,4296.004142,22.7,44,0.293547701110769
"GL",8,"8_7",7,"W1_GL_8","13C","13C.GL",1.7112064,2368.361179,22.7,44,0.293547701110769
"GL",8,"8_8",8,"W1_GL_8","13C","13C.GL",1.7059424,6990.043947,22.7,44,0.293547701110769
"GL",8,"8_9",9,"W1_GL_8","13C","13C.GL",1.7017312,2572.534798,22.7,44,0.293547701110769
"GL",9,"9_10",10,"W1_GL_9","13C","13C.GL",1.7017312,34838.82621,18.1,30,0.254856600104765
"GL",9,"9_11",11,"W1_GL_9","13C","13C.GL",1.69752,34832.43185,18.1,30,0.254856600104765
"GL",9,"9_12",12,"W1_GL_9","13C","13C.GL",1.6954144,38463.46729,18.1,30,0.254856600104765
"GL",9,"9_13",13,"W1_GL_9","13C","13C.GL",1.692256,53396.65553,18.1,30,0.254856600104765
